lag_analyzed_frames	lag_coordinate	acf
0	0.0	1.0
1	0.02	0.9747943480444385
2	0.04	0.9476941991078226
3	0.06	0.9225576102789552
4	0.08	0.8985461315822402
5	0.1	0.8756732854595263
6	0.12	0.851784399429594
7	0.14	0.824672396087461
8	0.16	0.7963393781744669
9	0.18	0.7665193002065954
10	0.2	0.7359003672068974
11	0.22	0.7064972971069063
12	0.24	0.6877432788286427
13	0.26	0.6711124965750519
14	0.28	0.6508703377763283
15	0.3	0.6282160704252636
16	0.32	0.6034540884609547
17	0.34	0.5788395447070266
18	0.36	0.5560692698698557
19	0.38	0.5372643993277063
20	0.4	0.5185306009452411
21	0.42	0.4994639137830475
22	0.44	0.4796331077993077
23	0.46	0.4596085780219986
24	0.48	0.4376248951999814
25	0.5	0.41868395593245566
26	0.52	0.4029209983904543
27	0.54	0.38706971370808474
28	0.56	0.3704809812947294
29	0.58	0.35456377762081004
30	0.6	0.33393791233522063
31	0.62	0.31404323711787263
32	0.64	0.2968859486292286
33	0.66	0.2795412814678615
34	0.68	0.2619649278298045
35	0.7000000000000001	0.24587472065543423
36	0.72	0.22835570181158638
37	0.74	0.20787110775676018
38	0.76	0.18972839366811525
39	0.78	0.1725071392400106
40	0.8	0.15473687963201457
41	0.8200000000000001	0.13869315202576582
42	0.84	0.12270133058467923
43	0.86	0.10259373075764608
44	0.88	0.08286972247811644
45	0.9	0.06381677028998983
46	0.92	0.04497924608117324
47	0.9400000000000001	0.026022897650936443
48	0.96	0.008158055622776992
49	0.98	-0.011108362326332432
50	1.0	-0.031536665892464906
51	1.02	-0.050716850594020035
52	1.04	-0.06982653162973262
53	1.06	-0.0867031860399113
54	1.08	-0.09885189525487142
55	1.1	-0.10842998108197702
56	1.12	-0.11784046854055834
57	1.1400000000000001	-0.1302698759259068
58	1.16	-0.14292014146527338
59	1.18	-0.15346410483869802
60	1.2	-0.16407817210768727
61	1.22	-0.17015548652607534
62	1.24	-0.17698422186549015
63	1.26	-0.18234580487576552
64	1.28	-0.18962894488690318
65	1.3	-0.19810254548524606
66	1.32	-0.20556621977034434
67	1.34	-0.21232269444735236
68	1.36	-0.21434494019467995
69	1.3800000000000001	-0.2149920543420689
70	1.4000000000000001	-0.2155147153632476
71	1.42	-0.2142237364798709
72	1.44	-0.21531875686634372
73	1.46	-0.21595412697494526
74	1.48	-0.21414224389105962
75	1.5	-0.20982318311762252
76	1.52	-0.20666587577293782
77	1.54	-0.20434109767517053
78	1.56	-0.20136004280001502
79	1.58	-0.19926140813573467
80	1.6	-0.19515040911763326
81	1.62	-0.1917405266860057
82	1.6400000000000001	-0.18792604576865435
83	1.6600000000000001	-0.1824052634386379
84	1.68	-0.17722643495739523
85	1.7	-0.17531043338198854
86	1.72	-0.17448603871896934
87	1.74	-0.17115572114556096
88	1.76	-0.16580165666398272
89	1.78	-0.16084180540058662
90	1.8	-0.1565300805368396
91	1.82	-0.15319092805179702
92	1.84	-0.14862721086241135
93	1.86	-0.14611705645516146
94	1.8800000000000001	-0.1411518341596781
95	1.9000000000000001	-0.13253708354521646
96	1.92	-0.12433809992548209
97	1.94	-0.11508271561678829
98	1.96	-0.1075061114637276
99	1.98	-0.10281272735486718
100	2.0	-0.09792395282815669
101	2.02	-0.09243654347257264
102	2.04	-0.08394910150424936
103	2.06	-0.07563026798472296
104	2.08	-0.06752649666651038
105	2.1	-0.06423183985068248
106	2.12	-0.06341852400403555
107	2.14	-0.05901504085801091
108	2.16	-0.052494566534903975
109	2.18	-0.04386831719439137
110	2.2	-0.03341854960159135
111	2.22	-0.02330297992944607
112	2.24	-0.014755685591947534
113	2.2600000000000002	-0.012231022925257011
114	2.2800000000000002	-0.007865775267448583
115	2.3000000000000003	0.00020458806891352613
116	2.32	0.00940004219549447
117	2.34	0.020197412088776318
118	2.36	0.02763440167984482
119	2.38	0.03052484300552363
120	2.4	0.03223965093792265
121	2.42	0.03471061803791708
122	2.44	0.0394702362847223
123	2.46	0.04754421930791697
124	2.48	0.059416228296073036
125	2.5	0.06866797856201849
126	2.52	0.07331827215170043
127	2.54	0.0781015332578764
128	2.56	0.08074412247926273
129	2.58	0.08466509975966074
130	2.6	0.09060120028106579
131	2.62	0.09589659928380305
132	2.64	0.09814679440129258
133	2.66	0.09749075400799881
134	2.68	0.09439504486617097
135	2.7	0.08896054773671251
136	2.72	0.0864898201526493
137	2.74	0.08609547859911082
138	2.7600000000000002	0.0843272550564739
139	2.7800000000000002	0.08337809097651946
140	2.8000000000000003	0.08040014968154444
141	2.82	0.07453553772697852
142	2.84	0.06812281847169309
143	2.86	0.06389177422423396
144	2.88	0.06082468068047124
145	2.9	0.05687393349924384
146	2.92	0.05378386998456835
147	2.94	0.04664068467917101
148	2.96	0.03845529797141377
149	2.98	0.03152712035891682
150	3.0	0.024121304464883298
